id_pergunta,nota_sem_rag,nota_com_rag
1,5,5
2,5,5
3,1,5
4,1,1
5,1,2
6,1,5
7,4,1
8,4,1
9,1,1
10,1,5
11,4,5
12,1,5
13,5,5
14,5,5
15,5,5
16,2,1
17,5,5
18,1,1
19,2,2
20,2,2
21,2,2
22,2,4
45,1,5
23,2,4
24,2,4
25,2,5
26,5,1
27,1,2
28,2,1
29,2,5
30,2,5
31,2,5
32,5,5
33,2,5
34,3,5
35,2,5
36,2,5
37,1,2
38,5,1
39,1,1
40,1,5
41,2,5
42,1,5
43,1,5
44,1,5
46,1,5
47,5,5
48,1,5
49,5,5
50,4,5
51,2,5
52,2,2
53,1,5
54,2,4
55,2,5
56,1,3
57,1,4
93,1,1
58,2,5
59,2,5
60,2,5
61,1,2
62,4,2
63,1,2
64,4,2
65,5,5
66,5,2
67,1,5
68,5,5
69,1,2
70,2,5
71,4,5
72,2,5
73,1,5
74,5,5
75,1,5
76,2,5
77,5,5
78,2,5
79,1,1
80,4,2
81,1,2
82,5,5
83,5,1
84,2,1
85,3,1
86,1,1
87,2,1
88,1,5
89,5,2
90,2,5
91,2,1
92,5,1
771,1,5
94,2,3
95,5,2
96,2,5
97,1,1
98,1,2
99,1,2
100,2,1
101,5,1
102,2,1
103,2,5
104,5,5
105,2,5
106,1,1
107,4,5
108,1,1
109,2,1
110,5,1
111,2,1
112,5,4
113,4,4
114,2,4
115,1,5
116,1,1
117,1,1
118,2,5
220,2,5
119,5,5
120,2,5
121,1,5
122,2,5
123,1,5
124,4,5
125,5,5
126,2,1
127,2,2
128,2,3
129,2,3
130,5,5
131,5,3
132,1,3
133,5,5
134,5,5
135,5,5
136,1,1
137,5,1
138,2,2
963,1,5
139,2,1
140,5,1
141,1,1
142,4,5
143,5,5
2980,2,2
144,1,5
145,1,5
146,4,5
147,2,4
148,1,5
161,4,5
149,5,5
150,1,5
151,2,2
152,5,2
153,2,5
154,1,2
155,4,1
156,1,4
157,2,5
158,4,5
159,2,5
160,5,5
162,2,5
163,2,2
164,2,5
165,1,5
166,2,5
167,5,4
168,2,4
169,1,3
221,5,5
170,4,5
171,1,5
172,5,5
173,1,5
174,1,5
175,4,1
176,4,1
177,1,1
178,1,2
179,4,1
180,2,2
181,4,5
206,1,5
182,2,5
183,1,5
184,1,3
185,2,2
186,1,4
187,1,1
188,4,1
189,1,1
190,1,3
191,5,2
192,1,2
193,5,1
194,5,5
195,1,1
196,1,5
197,1,1
198,1,1
199,4,1
200,4,5
201,1,5
202,5,5
203,5,5
204,2,5
205,2,5
305,1,1
207,1,3
208,4,5
209,4,5
210,5,5
211,5,1
212,4,1
213,1,1
214,2,1
215,2,5
216,2,1
217,3,1
218,5,1
219,2,1
222,2,5
223,4,1
224,5,1
225,4,1
226,2,5
227,5,5
228,2,5
229,1,4
230,2,5
231,2,4
232,1,1
233,4,1
234,2,1
235,2,5
236,5,5
237,2,1
238,1,5
239,2,5
240,1,5
241,3,1
1685,1,5
242,3,1
243,4,1
244,5,3
245,2,5
246,2,5
247,1,2
